id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Expelliarmus;3012.0;-7792.0;1200.0;-2512.0;8674.0;9256.0;0
1;Wizard #1;Expelliarmus;-4156.0;-12720.0;13552.0;-2480.0;-5092.0;-1757.0;102
2;Wizard #1;Expelliarmus;188.0;-16216.0;3456.0;-2448.0;-8499.0;10347.0;206
3;Wizard #1;Expelliarmus;-6180.0;-15484.0;1532.0;-2512.0;-1969.0;8553.0;309
4;Wizard #1;Expelliarmus;2572.0;-15332.0;5692.0;-2480.0;-3125.0;7440.0;413
5;Wizard #1;Expelliarmus;-6664.0;-14728.0;-4884.0;-2480.0;-383.0;4078.0;515
6;Wizard #1;Expelliarmus;4000.0;-7168.0;-2308.0;-2480.0;27412.0;-8958.0;619
7;Wizard #1;Expelliarmus;10836.0;-3292.0;16716.0;-2480.0;28733.0;-277.0;722
8;Wizard #1;Expelliarmus;8156.0;-5592.0;32436.0;-2512.0;9054.0;-15380.0;825
9;Wizard #1;Expelliarmus;1156.0;-6636.0;22212.0;-2512.0;-8062.0;-3784.0;928
10;Wizard #1;Expelliarmus;-12112.0;-2944.0;16516.0;-2512.0;-29183.0;98.0;1031
11;Wizard #1;Expelliarmus;-1728.0;-5968.0;5168.0;-2512.0;-29439.0;7551.0;1135
12;Wizard #1;Expelliarmus;-3632.0;-11076.0;-7192.0;-2512.0;-18047.0;8485.0;1238
13;Wizard #1;Expelliarmus;-7324.0;-14364.0;-9408.0;-2512.0;-3179.0;4433.0;1340
14;Wizard #1;Expelliarmus;-11644.0;-16320.0;4144.0;-2480.0;-181.0;2593.0;1444
15;Wizard #1;Expelliarmus;-9304.0;-12448.0;-3240.0;-2480.0;-5151.0;-5170.0;1547
16;Wizard #1;Expelliarmus;4440.0;-8832.0;-23928.0;-2512.0;1767.0;-4326.0;1651
17;Wizard #1;Expelliarmus;12900.0;-1592.0;-4420.0;-2512.0;14480.0;-17943.0;1753
18;Wizard #1;Expelliarmus;32767.0;-4124.0;1076.0;-2496.0;-1724.0;-441.0;1857
19;Wizard #1;Expelliarmus;21076.0;-6088.0;-4736.0;-2480.0;2969.0;-6767.0;1960
20;Wizard #1;Expelliarmus;12104.0;-6256.0;448.0;-2496.0;618.0;-241.0;2063
21;Wizard #1;Expelliarmus;14644.0;-6884.0;-1116.0;-2512.0;1812.0;1010.0;2166
22;Wizard #1;Expelliarmus;18472.0;-7276.0;220.0;-2512.0;-441.0;62.0;2269
23;Wizard #1;Expelliarmus;15032.0;-6976.0;-1640.0;-2496.0;-1906.0;810.0;2373
24;Wizard #1;Expelliarmus;18116.0;-5884.0;-4032.0;-2464.0;2692.0;6381.0;2475
25;Wizard #1;Expelliarmus;17680.0;-5592.0;-1016.0;-2496.0;14361.0;29383.0;2578
26;Wizard #1;Expelliarmus;22640.0;2364.0;9384.0;-2512.0;19723.0;23049.0;2682
27;Wizard #1;Expelliarmus;10272.0;3772.0;18000.0;-2480.0;24890.0;23148.0;2785
28;Wizard #1;Expelliarmus;756.0;1528.0;23016.0;-2512.0;-4405.0;863.0;2888
29;Wizard #1;Expelliarmus;-22276.0;3512.0;29544.0;-2512.0;-24374.0;5663.0;2991
30;Wizard #1;Expelliarmus;-15320.0;1608.0;19500.0;-2480.0;-32768.0;-880.0;3095
31;Wizard #1;Expelliarmus;172.0;-3036.0;-15272.0;-2480.0;-29442.0;10128.0;3198
32;Wizard #1;Expelliarmus;4016.0;-14224.0;-18700.0;-2528.0;-12479.0;3660.0;3300
33;Wizard #1;Expelliarmus;-932.0;-13172.0;-24892.0;-2496.0;15538.0;4229.0;3404
34;Wizard #1;Expelliarmus;10608.0;18380.0;15896.0;-2480.0;32767.0;17182.0;3507
35;Wizard #1;Expelliarmus;7420.0;2388.0;32767.0;-2512.0;21086.0;1674.0;3611
36;Wizard #1;Expelliarmus;-2536.0;-3476.0;24008.0;-2480.0;-1830.0;615.0;3713
37;Wizard #1;Expelliarmus;-744.0;-4996.0;12488.0;-2480.0;266.0;-1478.0;3816
38;Wizard #1;Expelliarmus;1860.0;-4020.0;14700.0;-2512.0;-1071.0;-775.0;3920
39;Wizard #1;Expelliarmus;1796.0;-4448.0;15136.0;-2496.0;-1269.0;-2144.0;4022
