id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Abracadabra;-2220.0;-12072.0;10328.0;-2496.0;22.0;-1198.0;0
1;Wizard #1;Abracadabra;-3264.0;-11712.0;10428.0;-2496.0;-497.0;-279.0;103
2;Wizard #1;Abracadabra;-2700.0;-11832.0;9480.0;-2480.0;65.0;-1073.0;207
3;Wizard #1;Abracadabra;-1556.0;-11784.0;9416.0;-2496.0;260.0;-907.0;309
4;Wizard #1;Abracadabra;-1352.0;-12332.0;10492.0;-2464.0;685.0;-810.0;413
5;Wizard #1;Abracadabra;-2776.0;-11964.0;9672.0;-2480.0;-1350.0;-432.0;516
6;Wizard #1;Abracadabra;-4168.0;-11700.0;8784.0;-2496.0;-353.0;-254.0;618
7;Wizard #1;Abracadabra;-4496.0;-15300.0;13724.0;-2464.0;-517.0;7719.0;722
8;Wizard #1;Abracadabra;-24760.0;-13680.0;19236.0;-2496.0;-16322.0;26387.0;825
9;Wizard #1;Abracadabra;23700.0;1828.0;-21176.0;-2496.0;-17873.0;26860.0;929
10;Wizard #1;Abracadabra;17736.0;27836.0;11972.0;-2480.0;32767.0;21309.0;1031
11;Wizard #1;Abracadabra;-21528.0;5628.0;32767.0;-2480.0;-17151.0;4681.0;1135
12;Wizard #1;Abracadabra;-24940.0;-1768.0;17880.0;-2480.0;-26296.0;-8504.0;1238
13;Wizard #1;Abracadabra;-26796.0;-5632.0;-5112.0;-2464.0;-26514.0;6345.0;1341
14;Wizard #1;Abracadabra;-2352.0;-4632.0;-3096.0;-2480.0;-15792.0;26585.0;1445
15;Wizard #1;Abracadabra;8480.0;-8644.0;7788.0;-2448.0;-15505.0;13431.0;1547
16;Wizard #1;Abracadabra;11464.0;-5260.0;-14008.0;-2464.0;-20349.0;16618.0;1651
17;Wizard #1;Abracadabra;17528.0;-8140.0;-11876.0;-2464.0;16155.0;3460.0;1754
18;Wizard #1;Abracadabra;28112.0;1104.0;-32768.0;-2464.0;23433.0;-4970.0;1857
19;Wizard #1;Abracadabra;13356.0;32767.0;32767.0;-2496.0;32767.0;-32768.0;1960
20;Wizard #1;Abracadabra;7508.0;3412.0;3540.0;-2480.0;2554.0;-11794.0;2063
21;Wizard #1;Abracadabra;-2276.0;328.0;14400.0;-2464.0;-6975.0;3630.0;2167
22;Wizard #1;Abracadabra;-11720.0;-2428.0;16816.0;-2496.0;2605.0;-10101.0;2270
23;Wizard #1;Abracadabra;-5212.0;-2352.0;9528.0;-2464.0;-3969.0;1566.0;2373
24;Wizard #1;Abracadabra;-6040.0;1160.0;19352.0;-2496.0;-2330.0;-2182.0;2476
25;Wizard #1;Abracadabra;88.0;1624.0;12444.0;-2464.0;-9260.0;3421.0;2579
26;Wizard #1;Abracadabra;-4888.0;1528.0;16604.0;-2480.0;-11980.0;-10420.0;2683
27;Wizard #1;Abracadabra;-14420.0;-6104.0;4412.0;-2480.0;-13256.0;-11240.0;2785
28;Wizard #1;Abracadabra;-18652.0;-13972.0;8600.0;-2480.0;-7427.0;-2755.0;2889
29;Wizard #1;Abracadabra;-12836.0;-11384.0;7028.0;-2480.0;-7064.0;-2947.0;2992
30;Wizard #1;Abracadabra;-3096.0;-11696.0;4168.0;-2448.0;5850.0;-6508.0;3096
31;Wizard #1;Abracadabra;-4680.0;-9852.0;14348.0;-2480.0;7225.0;2357.0;3198
32;Wizard #1;Abracadabra;-11104.0;-5616.0;32767.0;-2480.0;-9676.0;3829.0;3301
33;Wizard #1;Abracadabra;-10432.0;3376.0;5080.0;-2464.0;-32768.0;15599.0;3405
34;Wizard #1;Abracadabra;-11072.0;-72.0;-12988.0;-2464.0;-3314.0;2700.0;3508
35;Wizard #1;Abracadabra;11472.0;-7272.0;6036.0;-2496.0;-2964.0;4662.0;3611
36;Wizard #1;Abracadabra;5532.0;-15700.0;-7460.0;-2448.0;7653.0;-4183.0;3714
37;Wizard #1;Abracadabra;-24480.0;-23208.0;76.0;-2480.0;13410.0;-16446.0;3817
38;Wizard #1;Abracadabra;4932.0;1212.0;-2540.0;-2512.0;16856.0;-26239.0;3921
39;Wizard #1;Abracadabra;32767.0;1224.0;30800.0;-2464.0;-2105.0;2366.0;4023
40;Wizard #1;Abracadabra;7464.0;-8692.0;-12144.0;-2464.0;-3534.0;680.0;4127
41;Wizard #1;Abracadabra;15672.0;-6240.0;360.0;-2464.0;-4490.0;2709.0;4230
42;Wizard #1;Abracadabra;10948.0;-6568.0;7244.0;-2464.0;-6494.0;2902.0;4333
43;Wizard #1;Abracadabra;11472.0;-9012.0;8484.0;-2480.0;-1426.0;1486.0;4436
44;Wizard #1;Abracadabra;11764.0;-7172.0;9008.0;-2448.0;-539.0;-498.0;4539
45;Wizard #1;Abracadabra;12044.0;-8028.0;1352.0;-2512.0;-160.0;1.0;4643
46;Wizard #1;Abracadabra;12088.0;-7516.0;6240.0;-2464.0;2265.0;-640.0;4745
47;Wizard #1;Abracadabra;19080.0;-3412.0;4160.0;-2496.0;-370.0;1241.0;4849
48;Wizard #1;Abracadabra;21136.0;320.0;2976.0;-2464.0;6168.0;155.0;4952
49;Wizard #1;Abracadabra;15844.0;4932.0;-3304.0;-2480.0;8999.0;-4584.0;5054
50;Wizard #1;Abracadabra;-11912.0;84.0;28520.0;-2464.0;24435.0;-8598.0;5158
51;Wizard #1;Abracadabra;-12632.0;-11176.0;13076.0;-2464.0;-9814.0;13432.0;5261
52;Wizard #1;Abracadabra;-13144.0;-11640.0;6816.0;-2448.0;2907.0;6592.0;5365
53;Wizard #1;Abracadabra;-1732.0;-6956.0;12352.0;-2432.0;-3024.0;-513.0;5467
54;Wizard #1;Abracadabra;-7800.0;-7808.0;10728.0;-2480.0;-148.0;-2162.0;5571
55;Wizard #1;Abracadabra;-14624.0;-8848.0;11924.0;-2496.0;-5176.0;10.0;5674
56;Wizard #1;Abracadabra;-9828.0;-5384.0;-1840.0;-2464.0;754.0;3479.0;5776
57;Wizard #1;Abracadabra;-10984.0;-6736.0;26264.0;-2464.0;5536.0;-6438.0;5880
58;Wizard #1;Abracadabra;-5396.0;-11072.0;10588.0;-2448.0;-11737.0;-923.0;5983
59;Wizard #1;Abracadabra;-6944.0;-10952.0;2668.0;-2480.0;-7514.0;690.0;6087
60;Wizard #1;Abracadabra;-7444.0;-10656.0;9980.0;-2448.0;1962.0;-3869.0;6189
61;Wizard #1;Abracadabra;-7700.0;-10776.0;6936.0;-2480.0;-3040.0;-610.0;6292
62;Wizard #1;Abracadabra;-9280.0;-13916.0;2780.0;-2496.0;16844.0;-26682.0;6396
63;Wizard #1;Abracadabra;-1144.0;-8576.0;10888.0;-2464.0;-13729.0;4985.0;6499
64;Wizard #1;Abracadabra;-9044.0;-13748.0;-1076.0;-2512.0;9828.0;-10733.0;6602
65;Wizard #1;Abracadabra;1072.0;-8864.0;18468.0;-2448.0;6651.0;-1479.0;6705
66;Wizard #1;Abracadabra;7332.0;-9196.0;8664.0;-2464.0;1852.0;-1458.0;6809
67;Wizard #1;Abracadabra;7576.0;-7856.0;16436.0;-2464.0;1785.0;-4378.0;6912
68;Wizard #1;Abracadabra;-800.0;-10780.0;10132.0;-2464.0;-3955.0;-2310.0;7014
69;Wizard #1;Abracadabra;-2304.0;-10528.0;9048.0;-2464.0;1594.0;-1934.0;7118
70;Wizard #1;Abracadabra;960.0;-10152.0;11932.0;-2480.0;1034.0;-1352.0;7221
71;Wizard #1;Abracadabra;3228.0;-9392.0;12752.0;-2480.0;1499.0;-346.0;7325
